State,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,3,4,3,3,5,4,4,5,6,5,5,6,6,7,6,6,7,7,6,6,6,5,6,6,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,5,5,4,5,4,5,4,4,4,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,4,4,3,4,4,3,3,3,3,2,3,3,3,3
10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,7,9,9,9,6,8,7,9,9,7,9,7,9,9,9,9,8,7,8,5,7,6,7,6,6,6,4,9,5,6,6,3,7,5,6,7,4,5,5,4,4,5,3,4,4,5,4,6,4,3,4,4,4,5,3,5,4,4,2,4,3,3,3,3,6,5,3,2,0,3,3,4,3,0
12,6,5,7,6,7,6,7,5,8,7,6,6,6,7,6,7,7,8,7,6,7,7,7,5,7,6,6,4,5,6,5,6,5,4,5,5,5,5,5,6,5,6,7,7,7,6,6,6,6,5,4,5,4,4,4,4,5,4,4,5,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2
13,4,4,4,4,4,5,5,4,5,5,6,6,6,6,6,7,6,7,7,6,7,6,6,6,5,6,5,6,5,4,4,5,5,4,4,4,4,4,4,5,5,5,5,5,4,6,5,4,5,5,4,3,4,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,4,4,4,3,3,3,4,4,3,4,3,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,3,3,3,2,3,3,2,3,3,2,3
15,0,0,9,0,7,0,3,5,4,5,5,5,5,4,4,5,5,3,4,5,3,4,3,3,2,5,5,4,3,3,1,2,0,0,4,2,2,5,4,5,3,4,5,4,5,4,5,6,7,5,6,5,5,6,6,7,4,5,4,6,5,5,5,6,5,5,6,3,5,5,5,3,3,3,3,5,2,2,4,3,4,4,3,3,4,3,2,2,2,0,2,3,3,3,5,3,4,0,2,0,0,0,2,3,0
16,0,6,9,0,5,5,4,5,3,5,2,4,4,3,3,5,4,2,4,0,0,3,2,2,2,2,2,2,0,2,2,0,2,1,2,3,3,4,4,4,3,7,4,6,4,3,6,5,3,3,4,4,4,2,4,3,2,3,3,3,5,3,2,2,3,3,2,1,2,1,2,2,2,2,2,2,1,2,1,1,1,2,2,1,2,1,3,1,1,0,2,2,2,1,1,2,1,0,2,0,1,2,2,1,2
17,9,9,9,9,9,9,9,8,9,9,8,7,7,7,8,6,6,6,6,6,5,5,5,4,4,4,4,4,3,4,4,3,3,3,4,4,4,5,5,6,6,7,7,6,7,8,8,7,7,6,6,6,5,5,6,5,6,5,5,4,4,4,4,4,3,4,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,2,2,1,2,1,2,2,2,2
18,9,9,9,8,9,9,9,8,8,8,9,6,7,6,5,6,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2
19,6,7,6,7,5,6,6,5,5,5,5,5,5,5,4,4,3,3,3,3,4,2,3,3,2,2,2,2,2,2,2,3,2,3,2,2,3,3,3,4,5,6,5,6,6,6,6,5,5,4,4,4,3,3,3,3,3,4,3,3,3,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,1,1,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,0,5,8,9,9,3,9,9,9,8,5,3,6,5,7,6,6,6,6,5,5,5,6,6,7,4,8,3,6,3,3,3,5,2,3,3,3,4,4,4,2,3,4,2,4,4,3,5,4,5,5,2,4,3,3,5,4,4,2,0,0,5,0,0,3,3,3,3
20,4,5,5,6,4,5,5,4,5,4,4,3,4,4,3,3,3,4,3,2,2,2,3,2,2,1,2,2,1,1,2,2,2,2,2,3,3,3,4,5,5,5,6,6,5,6,5,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,2,2,2,3,2,1,2,1,1,3,2,3,3
21,8,6,7,7,6,7,7,7,6,6,7,6,5,5,5,5,4,4,4,4,4,4,3,3,3,2,2,2,2,2,1,2,2,3,2,2,2,2,2,3,3,3,3,4,3,4,4,3,4,3,2,3,3,3,3,3,2,2,3,2,3,2,3,3,2,2,1,2,3,2,3,2,2,2,2,2,3,2,2,2,3,2,3,2,3,2,2,3,2,2,3,3,3,2,2,2,2,2,2,1,2,3,3,3,3
22,3,5,5,5,4,5,5,6,5,5,5,6,6,6,6,7,6,6,6,5,6,6,6,6,5,5,6,4,6,6,5,6,5,5,5,5,5,6,6,7,6,7,7,7,7,7,7,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,2,3,3,2,3,3,3,3
23,7,6,8,9,7,6,6,7,4,7,9,6,6,5,7,4,6,4,3,3,6,4,1,3,3,4,4,4,3,3,5,3,3,3,3,4,4,4,5,5,8,7,9,9,7,9,9,8,8,7,6,6,6,6,7,6,6,7,5,6,4,5,5,2,4,3,4,2,3,3,3,3,2,3,3,3,3,3,4,3,3,4,3,3,4,5,3,3,2,4,3,5,3,2,3,1,3,1,2,1,2,0,2,0,2
24,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,8,7,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,5,5,5,5,6,5,5,4,5,5,5,5,5,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,3,3,3,3,2,2
25,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,7,8,8,7,7,6,8,7,6,7,7,6,5,6,6,7,8,8,7,8,8,8,8,9,8,8,8,8,7,8,7,7,7,7,6,5,6,5,4,5,5,5,4,4,4,5,4,5,5,4,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,4,5,6,5,5,5,5,4,4,4,5,4,3,4,4,3,4
26,8,8,9,9,9,8,8,7,7,7,7,6,6,6,6,6,6,5,5,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,5,5,6,6,6,7,6,6,6,6,6,6,6,6,6,5,4,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1
27,8,7,7,7,8,6,6,6,5,6,6,5,5,4,5,4,4,4,4,3,4,3,4,3,4,3,3,4,4,2,4,4,3,4,4,4,4,5,5,6,6,6,6,6,6,6,7,6,5,5,6,5,5,5,5,5,4,4,4,4,3,4,3,4,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,1,2,1,2,2
28,3,5,3,4,4,4,4,5,5,5,4,5,5,5,6,6,6,6,6,6,5,6,5,5,6,6,5,4,6,5,6,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,3,4,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,2,2,3,2,3,3,2,3,2,4,3,3,4,3,3,2,3,2,1,2,2,3,2,3,2,3,2,2,1,1,2,2,3,2
29,8,8,8,8,7,7,6,6,6,6,6,6,7,6,6,5,5,4,5,5,4,3,4,4,3,3,3,3,2,2,3,3,3,3,3,3,3,4,4,5,6,5,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,2,2,2,3,3,2,3,2,2,2,2,1,2,2,1,2,2,2,2,2
30,9,9,9,9,7,9,9,8,7,6,8,6,7,7,7,6,5,5,5,6,2,3,3,3,3,3,2,2,2,2,2,4,3,3,4,3,3,4,4,5,6,7,7,6,6,7,6,3,5,5,5,3,4,3,4,4,2,4,2,3,3,3,2,2,4,2,4,3,1,2,3,3,3,3,1,2,2,3,4,2,3,3,0,3,2,4,3,2,2,3,2,2,2,2,2,0,2,0,0,0,0,3,0,0,0
31,5,3,5,5,6,4,6,5,4,5,5,4,5,4,4,4,4,3,4,3,3,4,3,3,2,3,3,2,3,3,3,4,2,3,3,3,4,4,4,6,6,5,7,7,7,6,7,5,5,5,4,4,5,5,4,4,4,3,3,3,3,2,2,2,2,3,2,2,4,2,2,2,3,2,2,2,2,3,2,3,2,2,3,2,3,3,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,3,1
32,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,5,4,6,9,7,7,9,7,8,5,8,5,9,6,4,6,3,5,4,8,4,7,3,5,4,5,2,2,3,3,2,4,3,3,4,2,2,2,2,2,2,2,3,1,2,3,3,2,3,3,3,2,2,2,2,2,1,3,2,2,2,2,1,1,1,0,1,1,1
33,9,9,9,9,9,8,8,9,9,6,9,8,7,6,8,7,6,6,5,4,7,4,3,4,5,4,4,4,3,2,3,4,3,4,2,4,4,6,4,5,5,6,5,8,8,7,7,6,8,7,8,7,5,7,7,6,8,6,7,4,5,7,5,4,5,4,3,3,4,6,5,6,5,4,4,4,3,3,4,4,5,5,5,4,4,4,4,5,4,5,4,4,3,3,3,3,3,2,2,3,2,2,2,2,2
